,Latitude (deg),Longitude (deg),Population Estimate
76884,31.7041,-99.5427,115.0
76888,31.5941,-99.6324,151.0
76936,30.8974,-100.5388,2983.0
76065,32.4516,-96.9873,37090.0
76067,32.7820,-98.1433,20309.0
76660,31.9301,-96.8982,561.0
76667,31.6750,-96.4859,11098.0
76708,31.6214,-97.2081,27964.0
76848,30.8804,-99.5498,48.0
76854,30.6271,-99.6362,220.0
76869,30.8610,-99.0310,64.0
76870,31.6918,-98.5030,270.0
75414,33.6255,-96.4366,3416.0
75440,32.8458,-95.7487,6258.0
75558,33.1837,-94.8747,1582.0
75751,32.1480,-95.8841,17084.0
75929,31.2496,-94.1918,1649.0
75148,32.1321,-95.9980,5961.0
75231,32.8797,-96.7442,40371.0
75448,33.2896,-95.7789,643.0
77617,29.5152,-94.5179,66.0
77622,29.8526,-94.3101,1439.0
77655,29.6912,-94.0369,213.0
77338,30.0095,-95.2930,43558.0
77339,30.0530,-95.2227,40133.0
77362,30.1565,-95.6675,6435.0
77364,30.7696,-95.2236,1828.0
77365,30.1002,-95.2720,36755.0
77371,30.4912,-94.9844,8036.0
77429,29.9857,-95.6548,88628.0
77444,29.3039,-95.7788,534.0
77454,29.5353,-96.2304,0.0
77468,29.1746,-95.8937,39.0
77473,29.8018,-96.1015,77.0
77475,29.4453,-96.6535,790.0
77489,29.6070,-95.5130,38242.0
77507,29.6157,-95.0732,312.0
77511,29.3938,-95.2451,47556.0
77517,29.3626,-95.1339,5677.0
77535,30.0658,-94.9055,34537.0
77539,29.4566,-95.0440,46032.0
77551,29.2770,-94.8343,21929.0
77554,29.2203,-94.9448,8556.0
77560,29.8740,-94.5762,337.0
77562,29.8283,-95.0457,10680.0
77590,29.3787,-94.8856,31604.0
77660,30.6570,-94.1455,1057.0
77713,30.0380,-94.2999,14238.0
77807,30.6849,-96.4883,11564.0
77835,30.1842,-96.6470,2330.0
79001,35.4036,-102.8004,178.0
79005,36.3523,-100.4110,1714.0
79013,36.0397,-102.0229,3618.0
79014,35.8382,-100.2711,3964.0
79029,35.8378,-101.8930,15584.0
79046,36.1618,-100.2736,712.0
79057,35.2856,-100.6831,1254.0
79059,35.8385,-100.8128,671.0
79501,32.7520,-99.8959,2659.0
79503,32.8763,-99.6964,85.0
79510,32.2975,-99.5143,7573.0
79526,32.6462,-100.7897,837.0
79546,32.8463,-100.4892,1794.0
79548,33.0630,-99.8622,203.0
79605,32.4260,-99.7995,29732.0
79606,32.3466,-99.8395,25053.0
79703,31.9777,-102.1309,23834.0
79720,32.2910,-101.4382,35025.0
79731,31.3690,-102.5343,4772.0
79742,31.3745,-102.8862,526.0
76872,31.2972,-99.1163,770.0
76933,31.8750,-100.3350,1209.0
76949,32.0322,-100.6994,12.0
76040,32.8165,-97.1074,31519.0
76048,32.4113,-97.8040,24822.0
76077,32.2819,-97.7038,355.0
76093,32.2283,-97.4047,1792.0
76104,32.7285,-97.3178,18344.0
76109,32.7005,-97.3878,23220.0
76117,32.8028,-97.2610,31068.0
76134,32.6419,-97.3300,26151.0
76137,32.8521,-97.2881,60385.0
76179,32.9071,-97.4257,65496.0
76180,32.8672,-97.2162,37524.0
76240,33.7064,-97.1667,28010.0
76272,33.4718,-97.1698,4116.0
76443,32.1350,-99.2582,1914.0
76446,31.9406,-98.3654,7709.0
76454,32.2233,-98.7014,1870.0
76459,33.2602,-98.3979,270.0
76463,32.5432,-98.4544,412.0
76466,32.4378,-98.7361,149.0
76475,32.6991,-98.4763,956.0
76486,33.0425,-98.0874,1125.0
76513,31.0449,-97.5059,39411.0
76518,30.8799,-97.1314,1880.0
76519,30.9671,-96.9157,487.0
76570,31.1015,-96.9783,2700.0
76571,30.9286,-97.5771,8630.0
76640,31.6835,-97.0682,3567.0
76642,31.5458,-96.5627,6949.0
76671,32.0571,-97.5901,1621.0
76801,31.7287,-99.0187,25011.0
76689,31.6244,-97.5449,3565.0
76691,31.7801,-97.1005,6333.0
78730,30.3630,-97.8366,9803.0
78733,30.3207,-97.8831,8927.0
78751,30.3101,-97.7250,16197.0
78828,29.7541,-100.1441,117.0
78572,26.2982,-98.4212,80601.0
78582,26.5103,-98.6752,43074.0
78592,26.0822,-97.8385,676.0
78597,26.3152,-97.2429,2818.0
78609,30.7605,-98.4752,1991.0
78610,30.0718,-97.8424,38525.0
78612,30.0991,-97.4781,13802.0
78616,29.8826,-97.5511,8918.0
78879,29.6760,-99.7793,89.0
78886,29.1534,-99.1575,469.0
78940,29.9187,-96.6716,2521.0
78669,30.4268,-98.1243,12901.0
78701,30.2672,-97.7423,10848.0
78735,30.2697,-97.8611,18122.0
78752,30.3341,-97.6999,20881.0
79745,31.8693,-103.0625,6984.0
79068,35.4034,-101.4571,3489.0
79080,35.5559,-101.1987,461.0
79082,34.2387,-102.3188,218.0
79087,36.3283,-102.9142,629.0
79096,35.3761,-100.2123,2071.0
79236,33.6846,-100.3359,218.0
79240,34.8814,-100.6584,81.0
79259,34.3606,-100.4444,35.0
79312,33.9643,-102.4701,978.0
79324,33.8492,-102.7667,42.0
79329,33.7127,-101.6564,3112.0
79342,32.9079,-102.3992,516.0
79367,33.5918,-102.1692,777.0
79370,33.5143,-100.8065,1594.0
79371,34.1107,-102.5154,1399.0
79752,31.3673,-102.1577,2467.0
79758,32.0369,-102.3945,2403.0
79772,31.5414,-103.5566,14029.0
79110,35.1498,-101.8725,19158.0
79111,35.2202,-101.6976,2108.0
79119,35.1035,-102.0355,17524.0
79201,34.3672,-100.3566,7288.0
79220,33.7773,-100.7281,208.0
79247,34.3849,-99.4015,64.0
79311,33.9182,-101.9090,3415.0
79323,33.0454,-102.8296,7252.0
79326,34.0960,-102.2738,59.0
79359,32.8298,-102.5117,3025.0
79380,33.7354,-102.3418,80.0
79778,31.2238,-101.9527,1056.0
79347,34.0924,-102.8304,7202.0
79379,33.5051,-102.7090,622.0
79360,32.7409,-102.6338,16666.0
79366,33.5307,-101.7016,1056.0
79377,32.8313,-102.0858,269.0
79381,33.3170,-101.6841,1548.0
78758,30.3842,-97.7072,48993.0
78801,29.3555,-99.8415,22518.0
78850,29.3592,-99.3024,1109.0
